lh.BA_exvivo.meancurv	lh_BA1_exvivo_meancurv	lh_BA2_exvivo_meancurv	lh_BA3a_exvivo_meancurv	lh_BA3b_exvivo_meancurv	lh_BA4a_exvivo_meancurv	lh_BA4p_exvivo_meancurv	lh_BA6_exvivo_meancurv	lh_BA44_exvivo_meancurv	lh_BA45_exvivo_meancurv	lh_V1_exvivo_meancurv	lh_V2_exvivo_meancurv	lh_MT_exvivo_meancurv	lh_perirhinal_exvivo_meancurv	lh_entorhinal_exvivo_meancurv	BrainSegVolNotVent	eTIV
sub-season101	0.103	0.083	0.101	0.092	0.075	0.07	0.097	0.083	0.1	0.106	0.121	0.115	0.081	0.093	1564505.0	1381338.856958
sub-season102	0.094	0.078	0.088	0.067	0.064	0.057	0.087	0.091	0.093	0.095	0.115	0.094	0.099	0.108	2019594.0	1844670.123623
sub-season103	0.1	0.087	0.111	0.086	0.073	0.078	0.089	0.105	0.103	0.117	0.115	0.102	0.07	0.121	1610298.0	1456061.200256
sub-season104	0.103	0.085	0.1	0.092	0.076	0.07	0.089	0.093	0.097	0.109	0.121	0.099	0.096	0.124	1759065.0	1579786.950392
sub-season105	0.105	0.097	0.097	0.089	0.086	0.085	0.097	0.111	0.103	0.1	0.117	0.097	0.106	0.106	1659168.0	1562659.338937
sub-season106	0.098	0.09	0.098	0.09	0.072	0.074	0.093	0.094	0.102	0.108	0.118	0.103	0.091	0.117	1628347.0	1491867.942883
sub-season107	0.101	0.099	0.098	0.084	0.079	0.062	0.095	0.09	0.091	0.121	0.13	0.1	0.085	0.111	1782750.0	1531825.373854
sub-season108	0.101	0.082	0.098	0.082	0.075	0.073	0.094	0.096	0.1	0.099	0.115	0.098	0.084	0.103	1592943.0	1440808.605024
sub-season109	0.086	0.081	0.095	0.079	0.063	0.071	0.084	0.082	0.095	0.099	0.111	0.088	0.078	0.072	2127492.0	1955159.142595
sub-season110	0.108	0.084	0.106	0.094	0.085	0.08	0.092	0.093	0.101	0.096	0.118	0.102	0.079	0.109	1732844.0	1526380.723924
sub-season111	0.099	0.091	0.107	0.084	0.07	0.069	0.085	0.093	0.097	0.095	0.117	0.1	0.085	0.112	1899669.0	1839944.701833
sub-season112	0.091	0.09	0.096	0.085	0.072	0.068	0.09	0.091	0.106	0.108	0.115	0.104	0.09	0.105	1991731.0	1866319.603862
sub-season114	0.105	0.088	0.094	0.086	0.078	0.07	0.091	0.098	0.103	0.105	0.121	0.088	0.094	0.135	1594501.0	1463036.570722
sub-season116	0.113	0.091	0.109	0.088	0.077	0.07	0.09	0.093	0.099	0.103	0.117	0.102	0.098	0.092	1853772.0	1647607.876188
sub-season117	0.122	0.081	0.103	0.082	0.074	0.068	0.089	0.098	0.107	0.101	0.117	0.096	0.097	0.102	2020812.0	1881811.932601
sub-season119	0.094	0.087	0.102	0.087	0.065	0.068	0.091	0.105	0.095	0.103	0.121	0.094	0.093	0.1	1670736.0	1562273.317563
sub-season120	0.098	0.085	0.093	0.086	0.069	0.074	0.084	0.095	0.095	0.117	0.116	0.095	0.085	0.091	1868388.0	1666242.769937
sub-season121	0.12	0.089	0.098	0.09	0.078	0.067	0.09	0.087	0.103	0.106	0.124	0.107	0.08	0.11	2013998.0	1888531.516722
sub-season122	0.103	0.082	0.109	0.082	0.072	0.069	0.083	0.087	0.099	0.1	0.119	0.101	0.083	0.08	1875626.0	1800090.211769
sub-season123	0.106	0.094	0.089	0.091	0.076	0.071	0.09	0.095	0.099	0.109	0.116	0.097	0.086	0.064	2050727.0	1859570.015429
sub-season124	0.102	0.091	0.106	0.086	0.067	0.077	0.091	0.09	0.098	0.099	0.119	0.102	0.087	0.109	1800721.0	1690908.580525
sub-season125	0.116	0.084	0.103	0.088	0.072	0.061	0.089	0.094	0.101	0.1	0.112	0.1	0.101	0.084	1832870.0	1608718.911125
sub-season126	0.105	0.092	0.106	0.086	0.079	0.07	0.098	0.09	0.106	0.101	0.113	0.106	0.099	0.118	1740868.0	1664326.550661
sub-season127	0.105	0.092	0.1	0.086	0.073	0.076	0.089	0.096	0.098	0.101	0.111	0.1	0.093	0.114	1922793.0	1788638.710277
sub-season128	0.1	0.092	0.091	0.08	0.072	0.077	0.093	0.098	0.107	0.092	0.113	0.108	0.079	0.112	1698582.0	1630272.864062
sub-season129	0.096	0.095	0.093	0.09	0.068	0.065	0.086	0.095	0.101	0.106	0.117	0.098	0.087	0.112	1648872.0	1500330.289239
sub-season130	0.107	0.085	0.095	0.09	0.072	0.066	0.093	0.093	0.1	0.108	0.108	0.098	0.087	0.098	1776542.0	1550210.219428
sub-season131	0.095	0.091	0.093	0.078	0.072	0.066	0.086	0.1	0.105	0.104	0.116	0.093	0.084	0.133	1924837.0	1769658.917433
sub-season132	0.102	0.087	0.09	0.089	0.069	0.065	0.091	0.094	0.097	0.101	0.113	0.099	0.081	0.078	1468198.0	1438778.843677
sub-season133	0.116	0.091	0.103	0.094	0.068	0.082	0.089	0.082	0.099	0.09	0.106	0.103	0.077	0.103	1720390.0	1525111.068804
sub-season134	0.102	0.092	0.096	0.087	0.071	0.073	0.092	0.091	0.099	0.096	0.114	0.111	0.078	0.114	1889041.0	1801835.406833
