rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	668.0	2311.0	1702.0	296.0	2584.0	4349.0	3283.0	756.0	5026.0	2696.0	2735.0	1405.0	3858.0	657.0	1640.0	1415.0	694.0	1584.0	1328.0	4981.0	1140.0	4279.0	4049.0	525.0	4419.0	8585.0	3816.0	4574.0	3478.0	351.0	1909.0	81092.3	1564505.0	1381338.856958
sub-season102	796.0	2615.0	1973.0	386.0	3026.0	6233.0	3586.0	987.0	5371.0	3331.0	3139.0	1564.0	4650.0	704.0	1751.0	2000.0	874.0	1859.0	1668.0	4060.0	1363.0	4707.0	4685.0	731.0	4855.0	10091.0	5163.0	5368.0	4025.0	478.0	2062.0	94099.7	2019594.0	1844670.123623
sub-season103	777.0	2578.0	1432.0	277.0	2428.0	4894.0	2936.0	813.0	4496.0	2714.0	2279.0	1208.0	3525.0	566.0	1310.0	1557.0	630.0	1369.0	971.0	3831.0	1037.0	4896.0	3503.0	524.0	3369.0	9000.0	4429.0	4084.0	2927.0	335.0	1691.0	76385.6	1610298.0	1456061.200256
sub-season104	909.0	2035.0	2091.0	384.0	2454.0	5423.0	3279.0	829.0	5451.0	2833.0	3332.0	1525.0	4270.0	627.0	1522.0	1404.0	803.0	1364.0	1210.0	3927.0	1080.0	4103.0	3857.0	799.0	3871.0	8621.0	3994.0	4674.0	3319.0	325.0	1821.0	82137.7	1759065.0	1579786.950392
sub-season105	785.0	1722.0	1629.0	299.0	2725.0	5330.0	3251.0	620.0	4354.0	2378.0	3035.0	1300.0	4130.0	814.0	1763.0	1666.0	659.0	1268.0	1355.0	4075.0	946.0	4666.0	3928.0	709.0	3893.0	8779.0	5019.0	5633.0	4397.0	459.0	2029.0	83616.2	1659168.0	1562659.338937
sub-season106	872.0	2192.0	1701.0	384.0	2598.0	5263.0	3542.0	924.0	4202.0	2816.0	2771.0	1492.0	3919.0	581.0	1572.0	1695.0	625.0	1607.0	1188.0	4203.0	1061.0	4265.0	3755.0	951.0	4277.0	8111.0	4546.0	4446.0	3460.0	331.0	1814.0	81168.7	1628347.0	1491867.942883
sub-season107	836.0	2223.0	1644.0	438.0	2572.0	5684.0	3466.0	867.0	4592.0	2931.0	2964.0	1536.0	3985.0	614.0	1669.0	1644.0	803.0	1509.0	1263.0	4618.0	1243.0	4442.0	3910.0	888.0	4057.0	9704.0	3890.0	4812.0	3463.0	333.0	2127.0	84726.6	1782750.0	1531825.373854
sub-season108	639.0	2376.0	1698.0	317.0	2226.0	5325.0	3364.0	942.0	5079.0	2926.0	3025.0	1358.0	4134.0	565.0	1494.0	1313.0	563.0	1280.0	1437.0	3830.0	1030.0	4242.0	3645.0	525.0	3794.0	9600.0	4456.0	4548.0	2543.0	321.0	2036.0	80630.1	1592943.0	1440808.605024
sub-season109	754.0	2962.0	2364.0	304.0	2802.0	7400.0	4275.0	1066.0	5890.0	3204.0	3268.0	1654.0	6109.0	883.0	1595.0	2181.0	824.0	2099.0	1534.0	4633.0	1271.0	5012.0	4715.0	811.0	5239.0	8967.0	4098.0	5403.0	3452.0	350.0	2288.0	97404.1	2127492.0	1955159.142595
sub-season110	820.0	2499.0	1788.0	309.0	2638.0	5449.0	3274.0	894.0	5097.0	2382.0	3069.0	1214.0	4003.0	602.0	1571.0	1471.0	556.0	1457.0	1740.0	4076.0	1342.0	4592.0	4481.0	540.0	3992.0	9461.0	4832.0	4706.0	3288.0	351.0	1830.0	84321.6	1732844.0	1526380.723924
sub-season111	980.0	2286.0	1909.0	521.0	3028.0	5204.0	4123.0	1031.0	4539.0	3011.0	3074.0	1659.0	4463.0	652.0	1864.0	1606.0	714.0	1515.0	1714.0	4854.0	1451.0	5219.0	4720.0	763.0	4026.0	9325.0	5015.0	4894.0	3709.0	332.0	2140.0	90342.3	1899669.0	1839944.701833
sub-season112	1078.0	3230.0	2041.0	499.0	2597.0	6665.0	4487.0	962.0	5362.0	3152.0	3637.0	1530.0	4894.0	707.0	1685.0	1819.0	933.0	1900.0	1692.0	5431.0	1478.0	6044.0	4864.0	889.0	4773.0	9747.0	5569.0	5783.0	4118.0	436.0	2171.0	100172.0	1991731.0	1866319.603862
sub-season114	538.0	1886.0	1745.0	255.0	2446.0	5575.0	2706.0	641.0	4816.0	2287.0	2425.0	1395.0	3765.0	547.0	1558.0	1567.0	628.0	995.0	932.0	3946.0	1023.0	4565.0	3800.0	493.0	3127.0	8690.0	4040.0	4279.0	2927.0	303.0	1614.0	75512.0	1594501.0	1463036.570722
sub-season116	546.0	2195.0	2200.0	372.0	2702.0	6307.0	3027.0	999.0	4801.0	2756.0	3505.0	1429.0	4628.0	664.0	1480.0	1939.0	783.0	1911.0	1937.0	4693.0	1285.0	4450.0	4065.0	583.0	4457.0	10150.0	4155.0	4824.0	3125.0	318.0	2078.0	88363.8	1853772.0	1647607.876188
sub-season117	1079.0	2341.0	1602.0	524.0	2693.0	5185.0	4253.0	910.0	5452.0	3190.0	2787.0	1454.0	4183.0	703.0	2234.0	1615.0	894.0	1531.0	1181.0	4993.0	1722.0	5636.0	4148.0	972.0	4728.0	10407.0	4584.0	5738.0	4048.0	443.0	2137.0	93368.5	2020812.0	1881811.932601
