rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-season101	2291.0	6706.0	3619.0	1357.0	7837.0	10857.0	10639.0	2081.0	11662.0	8703.0	6334.0	4239.0	12770.0	2283.0	4333.0	4399.0	2228.0	4475.0	1952.0	12201.0	3217.0	12543.0	10925.0	1609.0	11697.0	27010.0	9144.0	15342.0	10291.0	1135.0	6132.0	1564505.0	1381338.856958
sub-season102	2323.0	8004.0	4935.0	1984.0	10383.0	18698.0	12764.0	2765.0	15167.0	11255.0	8049.0	5185.0	17476.0	2231.0	5433.0	6242.0	3149.0	5873.0	3146.0	10051.0	4464.0	15486.0	13872.0	2443.0	14204.0	35743.0	14220.0	18588.0	12035.0	1471.0	7298.0	2019594.0	1844670.123623
sub-season103	2827.0	8334.0	3007.0	1445.0	7909.0	14965.0	10549.0	2706.0	11467.0	9450.0	5657.0	4284.0	12360.0	1959.0	4131.0	5472.0	2477.0	4581.0	1513.0	8910.0	3088.0	14672.0	9560.0	1867.0	10370.0	30584.0	11350.0	15026.0	8963.0	1043.0	5936.0	1610298.0	1456061.200256
sub-season104	2843.0	6881.0	5562.0	2140.0	8475.0	17900.0	11515.0	2153.0	15841.0	10095.0	8652.0	4874.0	16686.0	2284.0	4763.0	5346.0	3156.0	3664.0	2047.0	9985.0	3241.0	13733.0	11014.0	2848.0	12277.0	30537.0	12165.0	18589.0	10974.0	1129.0	6450.0	1759065.0	1579786.950392
sub-season105	2888.0	5439.0	3617.0	1376.0	8851.0	16244.0	11774.0	1818.0	11904.0	8203.0	8046.0	4016.0	14247.0	2514.0	5094.0	5607.0	2359.0	3370.0	2544.0	10095.0	2903.0	14042.0	11855.0	2934.0	11262.0	30404.0	12949.0	20182.0	13761.0	1611.0	6855.0	1659168.0	1562659.338937
sub-season106	3011.0	6514.0	3750.0	1904.0	8456.0	15718.0	11767.0	3073.0	10646.0	9319.0	7148.0	4756.0	13723.0	2163.0	4972.0	5474.0	2080.0	4976.0	1892.0	10611.0	3206.0	12949.0	10575.0	3534.0	12612.0	26887.0	11994.0	15598.0	10565.0	1127.0	6352.0	1628347.0	1491867.942883
sub-season107	2656.0	7023.0	3654.0	1850.0	9185.0	16905.0	12839.0	2578.0	12021.0	9716.0	7389.0	4831.0	14232.0	2260.0	4726.0	5561.0	2885.0	4733.0	2045.0	11321.0	3709.0	13254.0	10818.0	3680.0	12384.0	32767.0	10018.0	17266.0	10502.0	1193.0	7515.0	1782750.0	1531825.373854
sub-season108	2307.0	7213.0	3280.0	1414.0	7605.0	15835.0	10678.0	2540.0	11825.0	9711.0	6653.0	4332.0	14600.0	1861.0	4155.0	4110.0	1946.0	4244.0	2595.0	9020.0	3167.0	12825.0	9720.0	1823.0	11726.0	31373.0	10546.0	16271.0	8104.0	1120.0	6765.0	1592943.0	1440808.605024
sub-season109	2624.0	10419.0	5689.0	1852.0	10272.0	25655.0	16864.0	3981.0	16372.0	11371.0	9052.0	5301.0	23509.0	2713.0	4979.0	7887.0	2986.0	7366.0	2541.0	13349.0	4438.0	16675.0	14504.0	3130.0	18280.0	34567.0	11786.0	20771.0	11729.0	1261.0	8702.0	2127492.0	1955159.142595
sub-season110	2906.0	8238.0	4036.0	1753.0	9055.0	16949.0	12181.0	3147.0	14431.0	8745.0	7253.0	4321.0	14615.0	2090.0	4629.0	5226.0	2037.0	4272.0	2854.0	10755.0	4229.0	14214.0	13604.0	2341.0	12842.0	33363.0	13144.0	17576.0	10984.0	1145.0	6891.0	1732844.0	1526380.723924
