rh.BA_exvivo.meancurv	rh_BA1_exvivo_meancurv	rh_BA2_exvivo_meancurv	rh_BA3a_exvivo_meancurv	rh_BA3b_exvivo_meancurv	rh_BA4a_exvivo_meancurv	rh_BA4p_exvivo_meancurv	rh_BA6_exvivo_meancurv	rh_BA44_exvivo_meancurv	rh_BA45_exvivo_meancurv	rh_V1_exvivo_meancurv	rh_V2_exvivo_meancurv	rh_MT_exvivo_meancurv	rh_perirhinal_exvivo_meancurv	rh_entorhinal_exvivo_meancurv	BrainSegVolNotVent	eTIV
sub-season101	0.089	0.088	0.094	0.079	0.072	0.073	0.094	0.095	0.106	0.101	0.124	0.089	0.091	0.121	1582874.0	1388183.039176
sub-season102	0.097	0.079	0.095	0.073	0.072	0.074	0.089	0.084	0.099	0.101	0.11	0.091	0.096	0.086	2023725.0	1855763.461063
sub-season103	0.117	0.086	0.098	0.079	0.062	0.069	0.084	0.096	0.102	0.101	0.11	0.105	0.096	0.092	1596199.0	1453159.764317
sub-season104	0.116	0.083	0.095	0.084	0.07	0.066	0.092	0.099	0.097	0.097	0.113	0.097	0.101	0.107	1745697.0	1579262.838206
sub-season105	0.127	0.08	0.11	0.083	0.084	0.088	0.101	0.095	0.104	0.101	0.116	0.108	0.096	0.074	1660365.0	1570462.886453
sub-season106	0.108	0.087	0.102	0.079	0.073	0.069	0.091	0.093	0.101	0.106	0.119	0.1	0.086	0.113	1622499.0	1484703.431897
sub-season107	0.109	0.08	0.099	0.071	0.063	0.067	0.089	0.096	0.103	0.105	0.123	0.094	0.109	0.109	1766856.0	1546563.481325
sub-season108	0.101	0.07	0.089	0.076	0.071	0.072	0.09	0.097	0.102	0.102	0.118	0.093	0.106	0.114	1599428.0	1442871.363481
sub-season109	0.103	0.072	0.096	0.07	0.058	0.059	0.085	0.088	0.096	0.094	0.111	0.096	0.105	0.095	2124171.0	1962371.698302
sub-season110	0.107	0.088	0.104	0.081	0.077	0.086	0.09	0.098	0.106	0.107	0.116	0.102	0.084	0.11	1736282.0	1528409.456225
sub-season111	0.112	0.089	0.096	0.074	0.066	0.072	0.081	0.085	0.098	0.102	0.116	0.085	0.093	0.098	1899333.0	1847640.871226
sub-season112	0.097	0.076	0.099	0.071	0.059	0.064	0.086	0.096	0.107	0.098	0.119	0.101	0.107	0.107	1982990.0	1847461.237093
sub-season114	0.109	0.072	0.094	0.078	0.069	0.067	0.091	0.093	0.096	0.101	0.118	0.1	0.09	0.115	1586104.0	1454285.610994
sub-season116	0.099	0.087	0.097	0.078	0.068	0.079	0.086	0.095	0.107	0.109	0.117	0.108	0.099	0.068	1864184.0	1661959.775933
sub-season117	0.111	0.092	0.096	0.077	0.073	0.071	0.091	0.093	0.106	0.099	0.12	0.104	0.092	0.122	2004602.0	1877210.629987
sub-season119	0.104	0.075	0.102	0.063	0.074	0.06	0.084	0.087	0.097	0.104	0.114	0.099	0.09	0.086	1661744.0	1543731.273115
sub-season120	0.105	0.079	0.101	0.071	0.07	0.069	0.089	0.087	0.101	0.103	0.114	0.099	0.098	0.116	1878649.0	1671209.727034
sub-season121	0.112	0.09	0.102	0.079	0.066	0.066	0.091	0.094	0.103	0.115	0.119	0.095	0.108	0.108	2006833.0	1902020.490605
sub-season122	0.107	0.071	0.097	0.078	0.064	0.067	0.087	0.089	0.096	0.106	0.117	0.085	0.087	0.068	1872440.0	1794427.85881
sub-season123	0.104	0.078	0.094	0.078	0.067	0.064	0.085	0.091	0.1	0.104	0.115	0.099	0.092	0.072	2044539.0	1853281.972512
sub-season124	0.101	0.076	0.112	0.084	0.075	0.077	0.093	0.096	0.101	0.094	0.119	0.09	0.098	0.136	1795252.0	1681543.710064
sub-season125	0.107	0.087	0.092	0.081	0.069	0.077	0.088	0.091	0.104	0.094	0.112	0.091	0.083	0.065	1831546.0	1612456.424967
sub-season126	0.11	0.083	0.106	0.075	0.071	0.076	0.092	0.093	0.109	0.11	0.116	0.094	0.108	0.113	1749591.0	1659864.879575
sub-season127	0.101	0.089	0.096	0.076	0.067	0.075	0.091	0.093	0.1	0.104	0.118	0.098	0.108	0.111	1919874.0	1781384.489153
sub-season128	0.111	0.087	0.084	0.081	0.074	0.072	0.09	0.097	0.107	0.12	0.116	0.108	0.087	0.099	1704446.0	1646061.979673
sub-season129	0.112	0.085	0.087	0.088	0.067	0.066	0.092	0.097	0.105	0.106	0.111	0.105	0.105	0.105	1645993.0	1508564.640623
sub-season130	0.107	0.091	0.086	0.076	0.067	0.076	0.091	0.087	0.105	0.094	0.108	0.086	0.099	0.056	1764883.0	1539840.061463
sub-season131	0.107	0.081	0.103	0.07	0.065	0.067	0.087	0.115	0.1	0.105	0.116	0.099	0.105	0.098	1929511.0	1780833.56615
sub-season132	0.116	0.088	0.093	0.08	0.063	0.079	0.095	0.096	0.097	0.099	0.114	0.096	0.094	0.11	1468388.0	1437269.594262
sub-season133	0.1	0.086	0.089	0.084	0.064	0.065	0.086	0.092	0.094	0.104	0.1	0.087	0.08	0.09	1716913.0	1527295.420286
sub-season134	0.106	0.073	0.084	0.076	0.064	0.064	0.087	0.09	0.102	0.103	0.11	0.094	0.098	0.118	1888480.0	1790093.865658
sub-season135	0.09	0.079	0.093	0.071	0.059	0.061	0.084	0.092	0.098	0.1	0.108	0.095	0.079	0.085	1734001.0	1611218.931581
sub-season136	0.12	0.084	0.109	0.085	0.076	0.077	0.089	0.097	0.107	0.096	0.122	0.089	0.105	0.1	1517832.0	1055213.176187
sub-season137	0.104	0.075	0.101	0.068	0.069	0.069	0.091	0.091	0.106	0.104	0.111	0.094	0.077	0.127	1677855.0	1473267.27748
sub-season138	0.122	0.074	0.084	0.069	0.069	0.061	0.09	0.092	0.107	0.091	0.112	0.095	0.1	0.109	1650225.0	1583557.102839
sub-season139	0.101	0.085	0.087	0.084	0.056	0.063	0.088	0.078	0.103	0.11	0.117	0.096	0.105	0.07	1800729.0	1603413.675221
sub-season202	0.1	0.095	0.102	0.079	0.07	0.064	0.089	0.093	0.105	0.107	0.119	0.089	0.125	0.1	2095131.0	1924322.56479
sub-season204	0.095	0.083	0.105	0.087	0.073	0.088	0.092	0.097	0.117	0.106	0.124	0.111	0.102	0.079	1700123.0	1563402.33921
sub-season206	0.109	0.085	0.099	0.081	0.065	0.064	0.095	0.093	0.106	0.101	0.114	0.095	0.092	0.132	1483635.0	1381952.007729
sub-season207	0.1	0.084	0.087	0.085	0.066	0.072	0.09	0.087	0.098	0.094	0.113	0.097	0.08	0.092	1918529.0	1635938.248445
sub-season208	0.099	0.09	0.095	0.077	0.073	0.072	0.095	0.093	0.108	0.108	0.112	0.095	0.1	0.073	1648395.0	1510409.717743
sub-season211	0.118	0.079	0.105	0.078	0.075	0.071	0.1	0.093	0.112	0.104	0.123	0.1	0.099	0.105	1541125.0	1318768.437228
sub-season212	0.103	0.095	0.088	0.089	0.075	0.078	0.092	0.093	0.112	0.106	0.11	0.09	0.091	0.081	1567224.0	1437638.547011
sub-season213	0.107	0.077	0.092	0.076	0.066	0.066	0.083	0.09	0.101	0.095	0.115	0.094	0.086	0.081	2016460.0	1828603.601019
sub-season214	0.098	0.077	0.104	0.079	0.084	0.065	0.086	0.093	0.098	0.103	0.114	0.104	0.079	0.063	1776364.0	1560816.551946
sub-season215	0.104	0.088	0.097	0.07	0.069	0.063	0.091	0.088	0.102	0.102	0.118	0.109	0.087	0.101	2004954.0	1897750.703816
sub-season216	0.105	0.074	0.093	0.076	0.064	0.057	0.085	0.089	0.098	0.098	0.108	0.09	0.084	0.065	1682602.0	1572543.232359
sub-season217	0.107	0.085	0.083	0.072	0.067	0.059	0.09	0.093	0.101	0.105	0.115	0.092	0.095	0.09	1595184.0	1512623.392129
