rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	818.0	655.0	2185.0	1471.0	349.0	2809.0	4272.0	2988.0	720.0	5059.0	2308.0	2853.0	2049.0	3277.0	607.0	1584.0	1247.0	915.0	1625.0	1352.0	4496.0	1098.0	4349.0	3991.0	365.0	6102.0	6826.0	4648.0	3386.0	3768.0	485.0	557.0	397.0	2084.0	81686.5	1592925.0	1412166.900513
sub-season102	917.0	699.0	2444.0	1693.0	404.0	3292.0	6222.0	3267.0	984.0	5298.0	2710.0	3250.0	1907.0	3888.0	679.0	1710.0	1799.0	1085.0	1908.0	1678.0	3662.0	1295.0	4959.0	4593.0	532.0	6895.0	7767.0	6229.0	4308.0	4221.0	350.0	488.0	473.0	2645.0	94245.5	2019190.0	1836734.352672
sub-season103	786.0	784.0	2516.0	1191.0	326.0	2616.0	4955.0	2643.0	900.0	4351.0	2423.0	2306.0	1696.0	2888.0	517.0	1202.0	1426.0	721.0	1359.0	968.0	3349.0	1013.0	5197.0	3330.0	437.0	4957.0	7104.0	5224.0	3128.0	3089.0	317.0	432.0	324.0	1869.0	76341.8	1604558.0	1443544.19585
sub-season104	946.0	754.0	1812.0	1719.0	351.0	2799.0	5266.0	2983.0	829.0	5357.0	2203.0	3311.0	1880.0	3448.0	603.0	1372.0	1226.0	965.0	1344.0	1275.0	3467.0	1006.0	4296.0	3722.0	563.0	5323.0	6706.0	4835.0	3488.0	3535.0	363.0	515.0	337.0	2359.0	80834.6	1745081.0	1582548.662703
sub-season105	1056.0	549.0	1665.0	1326.0	391.0	2977.0	5188.0	2821.0	671.0	4284.0	1925.0	3133.0	1527.0	3288.0	688.0	1673.0	1475.0	726.0	1229.0	1430.0	3612.0	941.0	4785.0	3839.0	528.0	5346.0	7087.0	5881.0	4328.0	4586.0	374.0	530.0	439.0	2409.0	82704.9	1643021.0	1563538.009266
sub-season106	831.0	731.0	2058.0	1407.0	469.0	2934.0	5369.0	3154.0	897.0	4154.0	2676.0	2825.0	1822.0	3274.0	524.0	1430.0	1449.0	815.0	1607.0	1190.0	3782.0	977.0	4267.0	3636.0	778.0	5913.0	6351.0	5304.0	3287.0	3523.0	351.0	626.0	341.0	1990.0	80722.7	1624831.0	1482952.883913
sub-season107	897.0	741.0	2093.0	1388.0	503.0	2852.0	5542.0	3136.0	861.0	4499.0	2444.0	2969.0	1829.0	3184.0	540.0	1527.0	1429.0	930.0	1541.0	1260.0	4115.0	1203.0	4601.0	3835.0	678.0	5798.0	7562.0	4726.0	3614.0	3871.0	359.0	475.0	347.0	2870.0	84213.5	1762574.0	1540944.436115
sub-season108	860.0	560.0	2382.0	1471.0	421.0	2467.0	5607.0	2983.0	947.0	5137.0	2378.0	3091.0	1933.0	3390.0	501.0	1427.0	1204.0	756.0	1339.0	1421.0	3530.0	958.0	4391.0	3538.0	353.0	5834.0	7238.0	5288.0	3247.0	2647.0	562.0	666.0	363.0	2184.0	80934.5	1608348.0	1453691.045969
sub-season109	1092.0	700.0	2836.0	1986.0	317.0	3052.0	7532.0	4054.0	1035.0	5633.0	2658.0	3463.0	2200.0	5197.0	896.0	1516.0	1854.0	1024.0	2080.0	1666.0	4249.0	1202.0	5148.0	4549.0	522.0	6877.0	6998.0	5144.0	4080.0	3708.0	331.0	524.0	331.0	3243.0	97676.4	2116975.0	1949204.264928
sub-season110	922.0	732.0	2406.0	1475.0	393.0	2810.0	5717.0	2946.0	890.0	5284.0	2012.0	3088.0	1649.0	3295.0	565.0	1461.0	1310.0	716.0	1386.0	1661.0	3561.0	1184.0	4750.0	4337.0	389.0	5537.0	7546.0	5700.0	3555.0	3624.0	439.0	508.0	400.0	2218.0	84463.1	1728574.0	1545647.495434
sub-season111	1063.0	879.0	2174.0	1594.0	599.0	3290.0	5247.0	3641.0	1020.0	4534.0	2337.0	3126.0	1932.0	3622.0	556.0	1743.0	1335.0	826.0	1575.0	1680.0	4388.0	1317.0	5415.0	4585.0	617.0	5886.0	6972.0	5882.0	3671.0	3981.0	328.0	481.0	327.0	2807.0	89427.7	1887219.0	1820797.057342
sub-season112	1084.0	992.0	3138.0	1625.0	543.0	2914.0	6615.0	4295.0	998.0	5124.0	2609.0	3701.0	1984.0	4031.0	644.0	1600.0	1542.0	1107.0	1842.0	1729.0	4829.0	1378.0	6144.0	4740.0	747.0	6613.0	7624.0	6474.0	4133.0	4355.0	370.0	653.0	422.0	2586.0	99177.4	1986596.0	1855650.512396
