lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-season101	2017.0	1324.0	6619.0	3320.0	1891.0	8855.0	9053.0	10212.0	3304.0	12116.0	7911.0	7132.0	4572.0	10892.0	1769.0	2821.0	5090.0	2627.0	4796.0	2068.0	11068.0	2880.0	13219.0	10585.0	2240.0	17719.0	25017.0	13675.0	11758.0	12067.0	1111.0	2453.0	1465.0	7579.0	1592925.0	1412166.900513
sub-season102	3029.0	2446.0	7846.0	3922.0	2002.0	11209.0	14174.0	12052.0	3039.0	14751.0	9074.0	8350.0	5927.0	13412.0	2040.0	4367.0	7584.0	3684.0	6090.0	2562.0	10091.0	3883.0	16685.0	12519.0	2923.0	20055.0	26890.0	17391.0	14776.0	12892.0	1345.0	2558.0	1746.0	8280.0	2019190.0	1836734.352672
sub-season103	2326.0	1617.0	7295.0	2278.0	1706.0	8006.0	11736.0	8531.0	2917.0	10524.0	7698.0	6928.0	4822.0	11233.0	2058.0	3797.0	5918.0	2578.0	4209.0	1522.0	9326.0	3020.0	16226.0	8892.0	2956.0	17381.0	25428.0	14005.0	12229.0	13572.0	1287.0	2955.0	1239.0	7088.0	1604558.0	1443544.19585
sub-season104	2640.0	1887.0	5670.0	3900.0	2542.0	11198.0	13683.0	11307.0	2279.0	14501.0	8405.0	8020.0	5324.0	12603.0	2565.0	3817.0	5733.0	3282.0	3808.0	1975.0	9139.0	2543.0	14176.0	11603.0	2596.0	18994.0	27121.0	17295.0	15000.0	11452.0	1740.0	3558.0	1722.0	8083.0	1745081.0	1582548.662703
sub-season105	2998.0	1570.0	4918.0	2744.0	1802.0	10220.0	12215.0	12460.0	2686.0	10543.0	7627.0	7057.0	4481.0	11219.0	1961.0	3795.0	4907.0	2839.0	4404.0	1976.0	8949.0	2446.0	14333.0	11105.0	1794.0	17144.0	28110.0	17485.0	13910.0	17086.0	1640.0	2684.0	1669.0	8285.0	1643021.0	1563538.009266
sub-season106	2088.0	2184.0	7678.0	2533.0	2208.0	11009.0	12723.0	9941.0	2402.0	11583.0	8770.0	6958.0	5208.0	11019.0	2084.0	4496.0	5210.0	2524.0	4390.0	1816.0	10726.0	4103.0	13605.0	9398.0	2687.0	16904.0	23196.0	14239.0	12606.0	10209.0	1215.0	2500.0	1324.0	7633.0	1624831.0	1482952.883913
sub-season107	3265.0	1941.0	5798.0	3444.0	2247.0	9580.0	14445.0	10839.0	2751.0	11466.0	8897.0	7282.0	5643.0	11633.0	2138.0	4097.0	5461.0	2807.0	3976.0	2371.0	10401.0	4015.0	13726.0	9725.0	3014.0	18277.0	28538.0	11438.0	13903.0	12248.0	1328.0	2925.0	1117.0	8828.0	1762574.0	1540944.436115
sub-season108	2009.0	1407.0	8524.0	3225.0	1813.0	8448.0	13071.0	10741.0	2818.0	11541.0	8390.0	7828.0	6125.0	12034.0	2528.0	3776.0	4570.0	2321.0	4306.0	2230.0	9252.0	2945.0	13507.0	8682.0	2451.0	17810.0	27262.0	12787.0	11389.0	8851.0	1744.0	3381.0	1681.0	7787.0	1608348.0	1453691.045969
sub-season109	2881.0	2553.0	9422.0	4159.0	2022.0	11704.0	17954.0	16027.0	3765.0	18996.0	10190.0	8855.0	6349.0	17941.0	2245.0	3610.0	7096.0	3720.0	5093.0	2798.0	13007.0	4458.0	19017.0	12816.0	3113.0	20589.0	30206.0	15026.0	16665.0	15048.0	1449.0	2616.0	1834.0	9098.0	2116975.0	1949204.264928
sub-season110	3468.0	1768.0	8642.0	2893.0	2004.0	10184.0	13032.0	11220.0	3359.0	12071.0	7451.0	7445.0	5859.0	12011.0	2062.0	4221.0	5328.0	3076.0	3064.0	2560.0	10174.0	3470.0	14338.0	14013.0	3626.0	18191.0	28275.0	17287.0	13954.0	13071.0	1307.0	3270.0	1507.0	7398.0	1728574.0	1545647.495434
sub-season111	2841.0	1885.0	6935.0	3723.0	2776.0	11622.0	11989.0	11273.0	2868.0	12964.0	8581.0	7520.0	4402.0	13530.0	2812.0	4160.0	5481.0	2796.0	3860.0	3209.0	12080.0	3390.0	16847.0	10974.0	2899.0	17198.0	27871.0	14213.0	13367.0	14242.0	1096.0	3003.0	1588.0	8120.0	1887219.0	1820797.057342
sub-season112	2274.0	1656.0	7950.0	3808.0	2518.0	10830.0	12795.0	14314.0	3057.0	12859.0	9243.0	7564.0	5451.0	12679.0	2519.0	4166.0	6569.0	2593.0	3324.0	2506.0	13187.0	3342.0	19561.0	11951.0	3449.0	18687.0	27565.0	15954.0	15512.0	12203.0	1101.0	3294.0	1554.0	8241.0	1986596.0	1855650.512396
sub-season114	3066.0	1352.0	5597.0	2495.0	1700.0	10564.0	13211.0	10068.0	2685.0	11570.0	6729.0	5792.0	5666.0	12513.0	1962.0	3952.0	4981.0	2270.0	3228.0	1234.0	9150.0	3471.0	14736.0	10264.0	1029.0	14429.0	29044.0	14101.0	12783.0	11726.0	1548.0	3812.0	1279.0	7239.0	1589934.0	1453974.037606
sub-season116	2871.0	1745.0	7807.0	3481.0	1793.0	11632.0	11922.0	11217.0	2726.0	12429.0	8004.0	6924.0	5345.0	13992.0	1805.0	3735.0	5864.0	3043.0	4599.0	2526.0	9941.0	3943.0	14981.0	10272.0	2948.0	19062.0	29175.0	13847.0	14669.0	14177.0	1334.0	2588.0	1506.0	8162.0	1864222.0	1656987.75507
sub-season117	2507.0	2068.0	6402.0	2959.0	3007.0	9472.0	12319.0	17801.0	2391.0	14326.0	8871.0	7313.0	4958.0	11058.0	3154.0	4741.0	4584.0	2777.0	4377.0	1969.0	8696.0	5008.0	17180.0	11502.0	4339.0	21038.0	29097.0	15103.0	14088.0	11687.0	1015.0	3420.0	1284.0	8890.0	2004035.0	1887383.587011
sub-season119	2700.0	2043.0	5570.0	3722.0	2773.0	11344.0	16598.0	12642.0	2450.0	14350.0	8744.0	6007.0	6492.0	12784.0	2093.0	4248.0	4774.0	2231.0	3738.0	2333.0	9921.0	3552.0	14440.0	11496.0	2439.0	15353.0	26728.0	14369.0	12801.0	11818.0	1626.0	3290.0	1452.0	8052.0	1696676.0	1569429.750095
sub-season120	2317.0	1689.0	7479.0	3411.0	1382.0	9803.0	12260.0	13354.0	2918.0	14864.0	9675.0	6328.0	5296.0	13424.0	2189.0	4318.0	4845.0	3159.0	5110.0	1544.0	10443.0	2823.0	15896.0	10347.0	3043.0	19656.0	32524.0	15407.0	13980.0	12973.0	1040.0	2210.0	1595.0	7976.0	1847717.0	1664683.598266
