rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	849.0	612.0	2217.0	1469.0	323.0	2825.0	4353.0	3035.0	779.0	5000.0	2317.0	2768.0	1885.0	3189.0	582.0	1569.0	1245.0	884.0	1582.0	1359.0	4494.0	1118.0	4382.0	3934.0	384.0	6265.0	6426.0	4705.0	3438.0	3762.0	354.0	543.0	369.0	2065.0	81073.7	1564505.0	1381338.856958
sub-season102	914.0	689.0	2469.0	1685.0	422.0	3296.0	6218.0	3292.0	986.0	5229.0	2732.0	3183.0	1951.0	3931.0	670.0	1667.0	1746.0	1091.0	1896.0	1682.0	3685.0	1302.0	4889.0	4537.0	525.0	6848.0	7805.0	6184.0	4300.0	4206.0	332.0	457.0	488.0	2750.0	94048.1	2019594.0	1844670.123623
sub-season103	806.0	693.0	2446.0	1194.0	295.0	2652.0	4900.0	2669.0	834.0	4476.0	2568.0	2319.0	1650.0	2898.0	548.0	1244.0	1426.0	737.0	1392.0	961.0	3418.0	971.0	5239.0	3364.0	397.0	4863.0	7055.0	5243.0	3106.0	3091.0	387.0	494.0	351.0	1859.0	76377.1	1610298.0	1456061.200256
sub-season104	986.0	789.0	1885.0	1727.0	429.0	2691.0	5416.0	3040.0	857.0	5333.0	2493.0	3367.0	2013.0	3515.0	571.0	1408.0	1225.0	998.0	1366.0	1243.0	3570.0	1033.0	4352.0	3792.0	621.0	5457.0	6743.0	4890.0	3529.0	3548.0	340.0	472.0	336.0	2085.0	82112.5	1759065.0	1579786.950392
sub-season105	1122.0	641.0	1617.0	1364.0	367.0	2968.0	5262.0	2926.0	590.0	4375.0	1977.0	3087.0	1601.0	3389.0	742.0	1645.0	1513.0	732.0	1292.0	1391.0	3640.0	898.0	4833.0	3839.0	557.0	5510.0	6996.0	5814.0	4372.0	4699.0	373.0	484.0	454.0	2484.0	83548.8	1659168.0	1562659.338937
sub-season106	813.0	806.0	2011.0	1374.0	420.0	2940.0	5365.0	3194.0	935.0	4170.0	2559.0	2825.0	1888.0	3245.0	534.0	1460.0	1501.0	793.0	1585.0	1220.0	3825.0	992.0	4482.0	3677.0	793.0	5747.0	6516.0	5411.0	3362.0	3528.0	311.0	584.0	339.0	1966.0	81152.9	1628347.0	1491867.942883
sub-season107	899.0	740.0	2078.0	1407.0	506.0	2822.0	5615.0	3187.0	870.0	4575.0	2825.0	3033.0	1796.0	3250.0	548.0	1553.0	1422.0	927.0	1588.0	1268.0	4146.0	1206.0	4624.0	3798.0	654.0	5872.0	7718.0	4738.0	3676.0	3873.0	330.0	484.0	315.0	2363.0	84698.9	1782750.0	1531825.373854
sub-season108	877.0	527.0	2300.0	1421.0	370.0	2512.0	5508.0	3024.0	961.0	5032.0	2345.0	3154.0	1853.0	3366.0	508.0	1410.0	1204.0	749.0	1285.0	1456.0	3498.0	1004.0	4448.0	3501.0	289.0	5638.0	7399.0	5267.0	3308.0	2666.0	562.0	629.0	338.0	2203.0	80604.8	1592943.0	1440808.605024
sub-season109	1045.0	702.0	2867.0	1918.0	334.0	3050.0	7557.0	4040.0	1060.0	5875.0	2614.0	3331.0	2215.0	5142.0	837.0	1539.0	1843.0	1025.0	2136.0	1567.0	4275.0	1212.0	5153.0	4604.0	537.0	6815.0	6994.0	5170.0	4042.0	3611.0	326.0	571.0	345.0	3076.0	97373.8	2127492.0	1955159.142595
sub-season110	907.0	742.0	2466.0	1488.0	351.0	2913.0	5516.0	2927.0	914.0	5075.0	1970.0	3144.0	1740.0	3381.0	559.0	1525.0	1308.0	760.0	1400.0	1722.0	3613.0	1221.0	4814.0	4393.0	411.0	5600.0	7483.0	5713.0	3590.0	3467.0	377.0	483.0	365.0	1996.0	84306.7	1732844.0	1526380.723924
sub-season111	1031.0	909.0	2216.0	1594.0	579.0	3316.0	5271.0	3805.0	1024.0	4507.0	2385.0	3122.0	2043.0	3675.0	615.0	1792.0	1366.0	871.0	1569.0	1720.0	4376.0	1358.0	5458.0	4614.0	605.0	5867.0	7040.0	5944.0	3690.0	3957.0	347.0	466.0	325.0	2851.0	90307.6	1899669.0	1839944.701833
sub-season112	1085.0	1011.0	3176.0	1654.0	565.0	2906.0	6652.0	4181.0	978.0	5281.0	2696.0	3724.0	1991.0	4116.0	672.0	1611.0	1548.0	1130.0	1857.0	1704.0	4916.0	1398.0	6207.0	4769.0	742.0	6638.0	7636.0	6624.0	4165.0	4411.0	407.0	684.0	439.0	2697.0	100127.0	1991731.0	1866319.603862
sub-season114	923.0	513.0	1770.0	1418.0	312.0	2606.0	5536.0	2459.0	651.0	4740.0	1921.0	2464.0	1615.0	3038.0	518.0	1465.0	1355.0	671.0	1117.0	974.0	3568.0	914.0	4923.0	3703.0	379.0	4551.0	6910.0	4964.0	3156.0	3205.0	344.0	468.0	308.0	2066.0	75467.0	1594501.0	1463036.570722
