lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-season101	1725.0	1222.0	6136.0	3296.0	2082.0	8023.0	8592.0	9287.0	2050.0	11944.0	7591.0	6905.0	4886.0	10569.0	1923.0	4262.0	5074.0	2356.0	4824.0	1787.0	10203.0	3255.0	12713.0	8845.0	1985.0	15958.0	25434.0	12637.0	11717.0	12064.0	1427.0	3463.0	1582.0	7120.0	1564505.0	1381338.856958
sub-season102	2931.0	2529.0	8022.0	3880.0	1832.0	11711.0	14516.0	12834.0	3244.0	14918.0	9699.0	8297.0	6477.0	13500.0	2253.0	4404.0	7887.0	3496.0	5794.0	2740.0	10261.0	3999.0	16848.0	12329.0	2921.0	20301.0	26604.0	17521.0	15270.0	13199.0	1209.0	2726.0	1745.0	8316.0	2019594.0	1844670.123623
sub-season103	2472.0	1593.0	6728.0	2145.0	1653.0	8004.0	11599.0	8871.0	2786.0	10226.0	7414.0	6938.0	4996.0	10823.0	2014.0	3686.0	5852.0	2566.0	4146.0	1372.0	8852.0	3012.0	15914.0	8661.0	2706.0	16976.0	25242.0	13416.0	12089.0	12837.0	1418.0	2999.0	1225.0	6717.0	1610298.0	1456061.200256
sub-season104	2624.0	2063.0	5885.0	3811.0	2485.0	11143.0	14165.0	11508.0	2139.0	14542.0	8922.0	8174.0	4948.0	12608.0	2650.0	3728.0	5878.0	3299.0	3783.0	2026.0	9388.0	2718.0	14276.0	11396.0	2556.0	20028.0	26166.0	17633.0	15331.0	11155.0	1464.0	3255.0	1561.0	8276.0	1759065.0	1579786.950392
sub-season105	2767.0	1561.0	5219.0	2741.0	1790.0	10358.0	12448.0	12092.0	2585.0	10917.0	7819.0	7272.0	4787.0	10789.0	1933.0	3916.0	4790.0	2836.0	4415.0	1994.0	8956.0	2347.0	14541.0	11136.0	1929.0	16315.0	28208.0	17380.0	14671.0	16873.0	1583.0	2143.0	1725.0	7871.0	1659168.0	1562659.338937
sub-season106	2162.0	2266.0	7777.0	2610.0	1892.0	11242.0	12803.0	9640.0	2429.0	11664.0	8912.0	6994.0	5716.0	11061.0	2090.0	4527.0	5540.0	2444.0	4115.0	1765.0	10788.0	4180.0	13689.0	9423.0	2611.0	16922.0	23566.0	14035.0	12382.0	10081.0	1210.0	2786.0	1294.0	7198.0	1628347.0	1491867.942883
sub-season107	3424.0	1869.0	5700.0	3151.0	2374.0	9834.0	14825.0	10856.0	2744.0	11679.0	8873.0	7357.0	5486.0	11539.0	2285.0	4106.0	5336.0	2886.0	4025.0	2066.0	10304.0	3838.0	13433.0	9649.0	3134.0	18581.0	28770.0	11529.0	13395.0	12078.0	1380.0	2704.0	1258.0	8444.0	1782750.0	1531825.373854
sub-season108	1861.0	1348.0	8201.0	2996.0	1893.0	8610.0	11869.0	10366.0	2775.0	12204.0	8538.0	7400.0	5919.0	11722.0	2398.0	3630.0	4363.0	2288.0	4211.0	2198.0	8955.0	2816.0	13368.0	8404.0	2379.0	16962.0	26885.0	12220.0	11150.0	8329.0	1680.0	3548.0	1549.0	7131.0	1592943.0	1440808.605024
sub-season109	3130.0	2432.0	9478.0	4220.0	2328.0	11982.0	17762.0	16474.0	3698.0	19073.0	10146.0	9126.0	6853.0	17780.0	2135.0	3637.0	7169.0	3698.0	5045.0	3033.0	13178.0	4446.0	19083.0	12887.0	3142.0	20959.0	30640.0	15295.0	16899.0	15123.0	1351.0	2464.0	1890.0	9081.0	2127492.0	1955159.142595
sub-season110	3490.0	1712.0	8416.0	3011.0	2060.0	10501.0	12697.0	11562.0	3141.0	12174.0	8009.0	7437.0	5846.0	11828.0	2158.0	4228.0	5136.0	3063.0	3217.0	2912.0	10111.0	3412.0	14019.0	14145.0	3602.0	17812.0	28878.0	17404.0	14229.0	12886.0	1430.0	3159.0	1551.0	6946.0	1732844.0	1526380.723924
sub-season111	2936.0	1893.0	7102.0	3684.0	2883.0	11203.0	12696.0	10656.0	2779.0	13065.0	8616.0	7108.0	4330.0	13612.0	2877.0	4202.0	5449.0	2551.0	4024.0	3255.0	12597.0	3367.0	17129.0	11141.0	2769.0	17191.0	27898.0	14286.0	13052.0	13928.0	1315.0	3173.0	1706.0	9041.0	1899669.0	1839944.701833
sub-season112	2252.0	1561.0	7907.0	3662.0	2817.0	10976.0	12593.0	14081.0	3043.0	12601.0	8757.0	7739.0	5630.0	12296.0	2539.0	4031.0	6117.0	2582.0	3453.0	2361.0	12776.0	3205.0	19495.0	11715.0	3111.0	17828.0	27679.0	15715.0	15472.0	11844.0	1200.0	3459.0	1561.0	7688.0	1991731.0	1866319.603862
sub-season114	3017.0	1257.0	5730.0	2544.0	1963.0	10579.0	13128.0	10402.0	2647.0	11968.0	6917.0	5662.0	5844.0	12598.0	1833.0	3917.0	5035.0	2443.0	3243.0	1235.0	9236.0	3498.0	14954.0	10300.0	864.0	14151.0	30410.0	14228.0	13077.0	11754.0	1900.0	3955.0	1374.0	7640.0	1594501.0	1463036.570722
sub-season116	2793.0	1830.0	7897.0	3367.0	1572.0	11742.0	11773.0	11191.0	3040.0	12184.0	8150.0	6847.0	4583.0	14466.0	1932.0	3519.0	5648.0	2879.0	4553.0	2607.0	9849.0	3632.0	14654.0	10174.0	2864.0	18678.0	28635.0	13505.0	14364.0	13792.0	1159.0	2520.0	1382.0	9041.0	1853772.0	1647607.876188
