rh.BA_exvivo.meancurv	rh_BA1_exvivo_meancurv	rh_BA2_exvivo_meancurv	rh_BA3a_exvivo_meancurv	rh_BA3b_exvivo_meancurv	rh_BA4a_exvivo_meancurv	rh_BA4p_exvivo_meancurv	rh_BA6_exvivo_meancurv	rh_BA44_exvivo_meancurv	rh_BA45_exvivo_meancurv	rh_V1_exvivo_meancurv	rh_V2_exvivo_meancurv	rh_MT_exvivo_meancurv	rh_perirhinal_exvivo_meancurv	rh_entorhinal_exvivo_meancurv	BrainSegVolNotVent	eTIV
sub-season101	0.092	0.087	0.094	0.078	0.073	0.07	0.095	0.095	0.109	0.1	0.127	0.087	0.099	0.144	1564505.0	1381338.856958
sub-season102	0.096	0.08	0.101	0.071	0.066	0.073	0.085	0.083	0.097	0.098	0.111	0.091	0.092	0.089	2019594.0	1844670.123623
sub-season103	0.113	0.084	0.101	0.083	0.07	0.075	0.081	0.095	0.1	0.105	0.112	0.098	0.095	0.109	1610298.0	1456061.200256
sub-season104	0.112	0.084	0.096	0.085	0.075	0.068	0.091	0.095	0.097	0.096	0.114	0.098	0.098	0.104	1759065.0	1579786.950392
sub-season105	0.126	0.08	0.11	0.083	0.078	0.087	0.098	0.095	0.104	0.103	0.115	0.106	0.137	0.075	1659168.0	1562659.338937
sub-season106	0.106	0.089	0.099	0.08	0.072	0.072	0.092	0.093	0.1	0.111	0.12	0.102	0.094	0.114	1628347.0	1491867.942883
sub-season107	0.113	0.084	0.1	0.072	0.067	0.067	0.09	0.098	0.104	0.111	0.124	0.093	0.101	0.106	1782750.0	1531825.373854
sub-season108	0.1	0.068	0.092	0.078	0.074	0.071	0.089	0.094	0.102	0.1	0.115	0.09	0.097	0.102	1592943.0	1440808.605024
sub-season109	0.094	0.072	0.094	0.069	0.056	0.065	0.083	0.086	0.095	0.1	0.106	0.097	0.095	0.079	2127492.0	1955159.142595
sub-season110	0.108	0.086	0.104	0.086	0.076	0.089	0.092	0.098	0.103	0.108	0.113	0.101	0.088	0.11	1732844.0	1526380.723924
sub-season111	0.108	0.088	0.101	0.073	0.065	0.072	0.08	0.082	0.098	0.103	0.116	0.085	0.095	0.086	1899669.0	1839944.701833
sub-season112	0.099	0.075	0.097	0.071	0.059	0.063	0.086	0.095	0.108	0.1	0.118	0.101	0.086	0.113	1991731.0	1866319.603862
sub-season114	0.107	0.074	0.092	0.079	0.076	0.067	0.088	0.096	0.1	0.098	0.12	0.098	0.082	0.106	1594501.0	1463036.570722
sub-season116	0.104	0.087	0.098	0.081	0.069	0.076	0.086	0.093	0.106	0.106	0.113	0.106	0.102	0.09	1853772.0	1647607.876188
sub-season117	0.1	0.091	0.096	0.077	0.075	0.076	0.092	0.093	0.106	0.102	0.121	0.109	0.083	0.133	2020812.0	1881811.932601
sub-season119	0.091	0.074	0.096	0.066	0.075	0.063	0.085	0.088	0.099	0.101	0.111	0.101	0.09	0.081	1670736.0	1562273.317563
