lh.BA_exvivo.meancurv	lh_BA1_exvivo_meancurv	lh_BA2_exvivo_meancurv	lh_BA3a_exvivo_meancurv	lh_BA3b_exvivo_meancurv	lh_BA4a_exvivo_meancurv	lh_BA4p_exvivo_meancurv	lh_BA6_exvivo_meancurv	lh_BA44_exvivo_meancurv	lh_BA45_exvivo_meancurv	lh_V1_exvivo_meancurv	lh_V2_exvivo_meancurv	lh_MT_exvivo_meancurv	lh_perirhinal_exvivo_meancurv	lh_entorhinal_exvivo_meancurv	BrainSegVolNotVent	eTIV
sub-season101	0.104	0.084	0.098	0.092	0.075	0.068	0.097	0.081	0.1	0.101	0.121	0.115	0.078	0.088	1582874.0	1388183.039176
sub-season102	0.093	0.079	0.086	0.068	0.073	0.063	0.088	0.092	0.095	0.097	0.116	0.094	0.086	0.11	2023725.0	1855763.461063
sub-season103	0.103	0.084	0.101	0.088	0.065	0.07	0.09	0.101	0.103	0.11	0.114	0.105	0.071	0.106	1596199.0	1453159.764317
sub-season104	0.102	0.084	0.098	0.093	0.07	0.073	0.089	0.093	0.097	0.106	0.12	0.094	0.104	0.119	1745697.0	1579262.838206
sub-season105	0.108	0.096	0.099	0.09	0.088	0.084	0.1	0.11	0.104	0.101	0.118	0.1	0.1	0.09	1660365.0	1570462.886453
sub-season106	0.099	0.092	0.101	0.093	0.073	0.073	0.093	0.095	0.101	0.106	0.118	0.105	0.089	0.116	1622499.0	1484703.431897
sub-season107	0.101	0.101	0.1	0.084	0.077	0.069	0.095	0.088	0.09	0.112	0.128	0.101	0.083	0.11	1766856.0	1546563.481325
sub-season108	0.096	0.083	0.096	0.081	0.07	0.066	0.096	0.098	0.098	0.1	0.116	0.102	0.075	0.116	1599428.0	1442871.363481
sub-season109	0.1	0.081	0.094	0.078	0.064	0.07	0.086	0.083	0.094	0.1	0.111	0.091	0.095	0.086	2124171.0	1962371.698302
sub-season110	0.103	0.086	0.104	0.093	0.077	0.075	0.093	0.086	0.095	0.096	0.12	0.104	0.086	0.109	1736282.0	1528409.456225
sub-season111	0.102	0.091	0.105	0.083	0.068	0.072	0.086	0.095	0.097	0.097	0.119	0.099	0.082	0.118	1899333.0	1847640.871226
sub-season112	0.09	0.092	0.099	0.082	0.069	0.07	0.088	0.093	0.104	0.107	0.113	0.1	0.109	0.099	1982990.0	1847461.237093
sub-season114	0.11	0.09	0.092	0.084	0.08	0.065	0.092	0.097	0.103	0.103	0.122	0.09	0.096	0.112	1586104.0	1454285.610994
sub-season116	0.109	0.089	0.111	0.087	0.079	0.071	0.088	0.094	0.099	0.108	0.12	0.104	0.093	0.097	1864184.0	1661959.775933
sub-season117	0.121	0.083	0.1	0.081	0.073	0.069	0.089	0.097	0.106	0.104	0.117	0.096	0.093	0.099	2004602.0	1877210.629987
sub-season119	0.095	0.086	0.097	0.081	0.066	0.06	0.089	0.102	0.098	0.097	0.121	0.092	0.086	0.1	1661744.0	1543731.273115
sub-season120	0.103	0.086	0.094	0.085	0.074	0.071	0.085	0.086	0.094	0.111	0.116	0.095	0.094	0.087	1878649.0	1671209.727034
sub-season121	0.118	0.088	0.101	0.089	0.077	0.07	0.09	0.089	0.103	0.107	0.122	0.107	0.083	0.107	2006833.0	1902020.490605
sub-season122	0.109	0.083	0.105	0.079	0.07	0.066	0.082	0.088	0.1	0.103	0.118	0.099	0.074	0.079	1872440.0	1794427.85881
sub-season123	0.109	0.094	0.09	0.088	0.072	0.068	0.089	0.095	0.099	0.116	0.115	0.097	0.075	0.068	2044539.0	1853281.972512
sub-season124	0.104	0.091	0.109	0.088	0.067	0.083	0.094	0.088	0.098	0.097	0.117	0.1	0.09	0.115	1795252.0	1681543.710064
sub-season125	0.11	0.086	0.099	0.081	0.072	0.065	0.09	0.093	0.103	0.105	0.11	0.102	0.111	0.073	1831546.0	1612456.424967
sub-season126	0.103	0.091	0.106	0.085	0.078	0.072	0.098	0.09	0.105	0.098	0.114	0.108	0.099	0.109	1749591.0	1659864.879575
sub-season127	0.097	0.093	0.102	0.086	0.07	0.071	0.09	0.095	0.098	0.103	0.114	0.101	0.081	0.109	1919874.0	1781384.489153
sub-season128	0.098	0.09	0.094	0.078	0.067	0.077	0.094	0.102	0.106	0.098	0.115	0.104	0.088	0.113	1704446.0	1646061.979673
sub-season129	0.105	0.093	0.091	0.094	0.066	0.066	0.086	0.097	0.102	0.108	0.12	0.095	0.088	0.117	1645993.0	1508564.640623
sub-season130	0.102	0.087	0.089	0.089	0.073	0.064	0.092	0.095	0.098	0.104	0.11	0.1	0.083	0.083	1764883.0	1539840.061463
sub-season131	0.088	0.093	0.093	0.078	0.073	0.063	0.087	0.098	0.103	0.104	0.115	0.096	0.082	0.129	1929511.0	1780833.56615
sub-season132	0.108	0.084	0.091	0.087	0.069	0.066	0.091	0.094	0.1	0.104	0.116	0.099	0.119	0.086	1468388.0	1437269.594262
sub-season133	0.111	0.089	0.102	0.093	0.066	0.079	0.089	0.081	0.101	0.089	0.106	0.104	0.079	0.11	1716913.0	1527295.420286
sub-season134	0.112	0.093	0.094	0.091	0.073	0.068	0.092	0.089	0.099	0.098	0.115	0.109	0.081	0.118	1888480.0	1790093.865658
sub-season135	0.093	0.084	0.093	0.08	0.066	0.061	0.09	0.09	0.101	0.093	0.112	0.101	0.102	0.116	1734001.0	1611218.931581
sub-season136	0.095	0.086	0.112	0.088	0.079	0.074	0.088	0.082	0.098	0.099	0.116	0.105	0.075	0.108	1517832.0	1055213.176187
sub-season137	0.101	0.075	0.096	0.077	0.08	0.069	0.093	0.084	0.1	0.104	0.113	0.093	0.083	0.1	1677855.0	1473267.27748
sub-season138	0.102	0.09	0.096	0.074	0.076	0.06	0.089	0.09	0.102	0.107	0.114	0.102	0.091	0.111	1650225.0	1583557.102839
sub-season139	0.11	0.084	0.098	0.082	0.076	0.071	0.088	0.093	0.099	0.093	0.115	0.101	0.104	0.077	1800729.0	1603413.675221
sub-season202	0.098	0.096	0.102	0.091	0.072	0.074	0.093	0.093	0.095	0.095	0.117	0.097	0.105	0.106	2095131.0	1924322.56479
sub-season204	0.11	0.101	0.115	0.081	0.077	0.076	0.091	0.1	0.106	0.099	0.127	0.113	0.103	0.078	1700123.0	1563402.33921
sub-season206	0.124	0.087	0.102	0.094	0.078	0.073	0.094	0.103	0.102	0.095	0.121	0.104	0.068	0.094	1483635.0	1381952.007729
sub-season207	0.093	0.09	0.099	0.084	0.075	0.071	0.09	0.092	0.104	0.103	0.108	0.095	0.081	0.108	1918529.0	1635938.248445
sub-season208	0.104	0.084	0.089	0.078	0.075	0.061	0.096	0.088	0.105	0.107	0.118	0.102	0.085	0.096	1648395.0	1510409.717743
sub-season211	0.124	0.093	0.113	0.079	0.089	0.076	0.099	0.1	0.114	0.102	0.122	0.116	0.091	0.114	1541125.0	1318768.437228
sub-season212	0.105	0.085	0.099	0.084	0.077	0.071	0.094	0.1	0.102	0.108	0.115	0.1	0.11	0.088	1567224.0	1437638.547011
sub-season213	0.099	0.083	0.097	0.08	0.075	0.064	0.086	0.094	0.093	0.096	0.118	0.102	0.093	0.084	2016460.0	1828603.601019
sub-season214	0.098	0.087	0.102	0.087	0.074	0.078	0.084	0.095	0.102	0.093	0.119	0.096	0.075	0.085	1776364.0	1560816.551946
sub-season215	0.099	0.091	0.099	0.082	0.076	0.062	0.089	0.09	0.093	0.108	0.116	0.107	0.098	0.094	2004954.0	1897750.703816
sub-season216	0.095	0.077	0.09	0.076	0.067	0.054	0.086	0.076	0.099	0.089	0.108	0.1	0.072	0.099	1682602.0	1572543.232359
sub-season217	0.1	0.082	0.096	0.079	0.059	0.062	0.092	0.086	0.105	0.098	0.114	0.104	0.108	0.078	1595184.0	1512623.392129
