rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	708.0	2279.0	1759.0	274.0	2566.0	4265.0	3294.0	719.0	5064.0	2889.0	2793.0	1549.0	3892.0	641.0	1665.0	1441.0	709.0	1636.0	1299.0	4969.0	1130.0	4263.0	4064.0	485.0	4340.0	8869.0	3829.0	4590.0	3501.0	395.0	1919.0	81794.2	1592925.0	1412166.900513
sub-season102	801.0	2617.0	2021.0	375.0	3029.0	6250.0	3548.0	978.0	5404.0	3272.0	3216.0	1456.0	4599.0	702.0	1787.0	2040.0	932.0	1860.0	1652.0	4054.0	1320.0	4775.0	4727.0	711.0	4841.0	10113.0	5257.0	5445.0	3981.0	456.0	2061.0	94279.7	2019190.0	1836734.352672
sub-season103	861.0	2600.0	1434.0	291.0	2399.0	4925.0	2919.0	901.0	4312.0	2767.0	2261.0	1258.0	3538.0	557.0	1252.0	1614.0	604.0	1339.0	976.0	3706.0	1066.0	4863.0	3474.0	603.0	3545.0	8928.0	4465.0	4068.0	2922.0	313.0	1692.0	76453.9	1604558.0	1443544.19585
sub-season104	869.0	1931.0	2066.0	306.0	2492.0	5253.0	3289.0	806.0	5483.0	2701.0	3281.0	1493.0	4155.0	635.0	1489.0	1384.0	776.0	1336.0	1265.0	3782.0	1057.0	4096.0	3775.0	724.0	3796.0	8552.0	3966.0	4588.0	3366.0	326.0	1823.0	80859.6	1745081.0	1582548.662703
sub-season105	733.0	1754.0	1581.0	304.0	2717.0	5225.0	3147.0	663.0	4267.0	2374.0	3079.0	1205.0	4033.0	758.0	1782.0	1649.0	678.0	1134.0	1395.0	4052.0	959.0	4649.0	3986.0	649.0	3716.0	8895.0	5022.0	5601.0	4338.0	434.0	1957.0	82733.1	1643021.0	1563538.009266
sub-season106	806.0	2233.0	1704.0	434.0	2551.0	5261.0	3564.0	886.0	4220.0	2804.0	2754.0	1519.0	3915.0	577.0	1530.0	1646.0	645.0	1627.0	1158.0	4200.0	1063.0	4046.0	3709.0	963.0	4381.0	8006.0	4441.0	4471.0	3460.0	338.0	1832.0	80743.0	1624831.0	1482952.883913
sub-season107	831.0	2208.0	1662.0	476.0	2558.0	5639.0	3430.0	866.0	4533.0	2966.0	2901.0	1650.0	3905.0	594.0	1637.0	1646.0	828.0	1440.0	1246.0	4587.0	1258.0	4382.0	3915.0	923.0	4105.0	9490.0	3881.0	4704.0	3491.0	353.0	2139.0	84244.7	1762574.0	1540944.436115
sub-season108	627.0	2451.0	1759.0	359.0	2121.0	5432.0	3391.0	956.0	5156.0	2770.0	3006.0	1466.0	4068.0	567.0	1488.0	1316.0	606.0	1351.0	1417.0	3894.0	1016.0	4197.0	3646.0	608.0	3889.0	9514.0	4478.0	4587.0	2515.0	352.0	2019.0	81020.1	1608348.0	1453691.045969
sub-season109	746.0	2995.0	2375.0	281.0	2801.0	7381.0	4285.0	1047.0	5645.0	3231.0	3364.0	1777.0	6189.0	947.0	1576.0	2167.0	815.0	2025.0	1654.0	4667.0	1244.0	4992.0	4709.0	816.0	5290.0	8944.0	4092.0	5420.0	3496.0	335.0	2383.0	97689.0	2116975.0	1949204.264928
sub-season110	813.0	2485.0	1789.0	322.0	2580.0	5644.0	3230.0	881.0	5301.0	2473.0	3023.0	1242.0	4018.0	598.0	1507.0	1443.0	551.0	1499.0	1630.0	4001.0	1306.0	4593.0	4479.0	534.0	3873.0	9481.0	4804.0	4761.0	3426.0	378.0	1846.0	84509.6	1728574.0	1545647.495434
sub-season111	975.0	2264.0	1919.0	556.0	2949.0	5201.0	3993.0	995.0	4543.0	2957.0	3058.0	1518.0	4400.0	614.0	1834.0	1576.0	716.0	1504.0	1684.0	4884.0	1404.0	5137.0	4712.0	779.0	4021.0	9200.0	4952.0	4953.0	3710.0	312.0	2127.0	89445.9	1887219.0	1820797.057342
sub-season112	1085.0	3189.0	1989.0	519.0	2602.0	6593.0	4525.0	980.0	5242.0	3074.0	3625.0	1520.0	4794.0	694.0	1690.0	1821.0	919.0	1887.0	1696.0	5341.0	1445.0	6014.0	4819.0	920.0	4765.0	9597.0	5542.0	5688.0	4028.0	418.0	2180.0	99200.7	1986596.0	1855650.512396
sub-season114	577.0	1844.0	1744.0	251.0	2463.0	5622.0	2673.0	680.0	4929.0	2293.0	2400.0	1284.0	3818.0	530.0	1577.0	1540.0	622.0	1003.0	909.0	3896.0	1088.0	4563.0	3786.0	529.0	3182.0	8776.0	4008.0	4196.0	2957.0	298.0	1642.0	75680.3	1589934.0	1453974.037606
sub-season116	535.0	2280.0	2250.0	365.0	2699.0	6396.0	2990.0	1030.0	4828.0	2778.0	3529.0	1523.0	4612.0	640.0	1479.0	1981.0	776.0	1883.0	1972.0	4790.0	1272.0	4397.0	4149.0	605.0	4433.0	10203.0	4161.0	4890.0	3215.0	305.0	2059.0	89025.9	1864222.0	1656987.75507
sub-season117	1005.0	2206.0	1535.0	533.0	2638.0	5130.0	4153.0	801.0	5534.0	3271.0	2773.0	1463.0	3957.0	694.0	2340.0	1529.0	898.0	1595.0	1155.0	4915.0	1582.0	5458.0	4160.0	788.0	4583.0	10661.0	4598.0	5730.0	4175.0	404.0	2109.0	92373.8	2004035.0	1887383.587011
sub-season119	721.0	2205.0	1787.0	441.0	2441.0	5351.0	3652.0	752.0	4823.0	2920.0	2570.0	1658.0	4317.0	607.0	1643.0	1386.0	662.0	1171.0	1319.0	4058.0	1141.0	4086.0	3652.0	558.0	3733.0	8536.0	4039.0	4923.0	3505.0	331.0	1931.0	80916.2	1696676.0	1569429.750095
