rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-season101	2424.0	6813.0	3873.0	1345.0	7841.0	11114.0	10869.0	2017.0	12022.0	9250.0	6393.0	4346.0	12866.0	2082.0	4539.0	4536.0	2330.0	4742.0	1958.0	12515.0	3289.0	12924.0	11393.0	1497.0	12054.0	28962.0	9469.0	15976.0	10421.0	1282.0	6256.0	1592925.0	1412166.900513
sub-season102	2288.0	8040.0	4800.0	1701.0	10499.0	18461.0	12432.0	2771.0	14906.0	11148.0	8140.0	4377.0	17390.0	2184.0	5463.0	6262.0	3297.0	5813.0	2986.0	10000.0	4256.0	15803.0	13876.0	2401.0	14168.0	35816.0	14328.0	18675.0	11828.0	1426.0	7305.0	2019190.0	1836734.352672
sub-season103	2839.0	8520.0	3191.0	1444.0	8303.0	15633.0	10633.0	2702.0	11442.0	9762.0	5799.0	3956.0	12578.0	1864.0	3950.0	5702.0	2537.0	4422.0	1669.0	9210.0	3227.0	15495.0	10012.0	2210.0	10889.0	30325.0	12172.0	15017.0	9039.0	979.0	5845.0	1604558.0	1443544.19585
sub-season104	2794.0	6613.0	5526.0	1484.0	8587.0	17460.0	11693.0	2207.0	15745.0	9429.0	8500.0	4520.0	16232.0	2397.0	4769.0	5327.0	3166.0	3498.0	2028.0	9704.0	3215.0	13489.0	10695.0	2836.0	11776.0	30112.0	12080.0	18490.0	11029.0	1110.0	6416.0	1745081.0	1582548.662703
sub-season105	2819.0	5460.0	3477.0	1574.0	8762.0	16259.0	11811.0	2191.0	11701.0	8101.0	7822.0	3757.0	14223.0	2562.0	5128.0	5715.0	2405.0	3126.0	2638.0	10255.0	2933.0	14243.0	11996.0	2914.0	11626.0	31312.0	13178.0	20576.0	13722.0	1460.0	6894.0	1643021.0	1563538.009266
sub-season106	2755.0	6658.0	3828.0	2233.0	8432.0	15524.0	11679.0	2958.0	10706.0	9717.0	7161.0	4911.0	13637.0	2235.0	4800.0	5386.0	2176.0	5111.0	1825.0	10714.0	3140.0	12447.0	10542.0	3683.0	13024.0	26655.0	12043.0	15942.0	10649.0	1143.0	6382.0	1624831.0	1482952.883913
sub-season107	2472.0	6866.0	3874.0	2014.0	9003.0	16874.0	12630.0	2624.0	12120.0	9865.0	7198.0	5646.0	13956.0	2267.0	4542.0	5769.0	3032.0	4444.0	1974.0	11519.0	3914.0	13411.0	11004.0	3583.0	12505.0	32527.0	9839.0	17078.0	10703.0	1226.0	7548.0	1762574.0	1540944.436115
sub-season108	2288.0	7446.0	3682.0	1515.0	7497.0	16066.0	10906.0	2562.0	12644.0	9363.0	6899.0	4707.0	14652.0	1962.0	4220.0	4185.0	2141.0	4374.0	2666.0	9335.0	3338.0	12826.0	9865.0	2238.0	12192.0	32186.0	11139.0	16893.0	7974.0	1253.0	6820.0	1608348.0	1453691.045969
sub-season109	2727.0	10191.0	5831.0	1493.0	10187.0	25461.0	16719.0	3976.0	15377.0	11408.0	9101.0	5996.0	23820.0	2861.0	4999.0	7726.0	2960.0	6958.0	2965.0	13464.0	4485.0	16705.0	14351.0	2975.0	18151.0	33927.0	11817.0	21042.0	11790.0	1247.0	8707.0	2116975.0	1949204.264928
sub-season110	2825.0	8127.0	4028.0	1979.0	8528.0	16866.0	11919.0	3051.0	14840.0	9034.0	7409.0	4277.0	14752.0	2104.0	4576.0	5142.0	2089.0	4658.0	2843.0	10609.0	4111.0	14643.0	13492.0	1873.0	12481.0	34015.0	12981.0	17776.0	11258.0	1226.0	6706.0	1728574.0	1545647.495434
sub-season111	2852.0	6802.0	4183.0	2368.0	9863.0	16536.0	14342.0	2716.0	11968.0	9928.0	7591.0	4305.0	15734.0	2265.0	5106.0	4715.0	2584.0	4743.0	2918.0	11984.0	4116.0	16053.0	12527.0	2369.0	11774.0	29778.0	12811.0	17055.0	11270.0	1102.0	7117.0	1887219.0	1820797.057342
sub-season112	3323.0	8670.0	4407.0	2494.0	7966.0	18223.0	15591.0	2605.0	13183.0	9303.0	8071.0	4278.0	15705.0	2487.0	4581.0	5231.0	2952.0	4528.0	3015.0	12728.0	4388.0	17729.0	12430.0	3024.0	12938.0	29239.0	13331.0	18480.0	11082.0	1288.0	6972.0	1986596.0	1855650.512396
sub-season114	2262.0	6121.0	3885.0	1477.0	8803.0	19448.0	10034.0	2038.0	13146.0	8504.0	5794.0	4710.0	15060.0	1772.0	4777.0	5325.0	2449.0	2769.0	1378.0	10204.0	3634.0	14431.0	10830.0	1863.0	10172.0	31012.0	11263.0	15873.0	9660.0	907.0	6331.0	1589934.0	1453974.037606
sub-season116	1576.0	7148.0	4956.0	1779.0	9390.0	19698.0	10091.0	3183.0	12634.0	8818.0	9044.0	4600.0	16778.0	1884.0	4211.0	5991.0	2549.0	6193.0	3367.0	11640.0	3862.0	13520.0	11763.0	2151.0	13236.0	34888.0	11066.0	16699.0	9280.0	930.0	7670.0	1864222.0	1656987.75507
sub-season117	3298.0	6454.0	3573.0	2794.0	8309.0	15120.0	15606.0	2055.0	13923.0	10417.0	7160.0	4526.0	12855.0	2907.0	6770.0	4569.0	3125.0	4729.0	2189.0	12038.0	4900.0	16844.0	11308.0	2866.0	13323.0	34219.0	12269.0	21267.0	12694.0	1486.0	7131.0	2004035.0	1887383.587011
sub-season119	2783.0	6930.0	4705.0	2359.0	8518.0	16618.0	13397.0	2330.0	14708.0	9907.0	6655.0	5158.0	16309.0	2338.0	5076.0	4253.0	2384.0	3662.0	2585.0	10771.0	3863.0	13549.0	10924.0	2372.0	11736.0	30201.0	11680.0	19263.0	11693.0	1188.0	6804.0	1696676.0	1569429.750095
sub-season120	2531.0	7675.0	4621.0	1820.0	8696.0	15479.0	11790.0	2303.0	14891.0	10128.0	7075.0	4348.0	12970.0	2435.0	5079.0	4850.0	2285.0	4705.0	2062.0	11822.0	3786.0	17007.0	11186.0	2727.0	14109.0	37743.0	13494.0	16980.0	10557.0	1540.0	6934.0	1847717.0	1664683.598266
sub-season121	2650.0	7653.0	6340.0	2651.0	9666.0	22321.0	13076.0	4268.0	22262.0	10456.0	9214.0	4670.0	16526.0	2724.0	5011.0	3822.0	3075.0	3629.0	3559.0	14100.0	3813.0	19068.0	14029.0	3044.0	13931.0	34422.0	13755.0	17594.0	10984.0	1392.0	7488.0	2008369.0	1897894.403667
sub-season122	3351.0	6767.0	5005.0	2248.0	10521.0	16609.0	12636.0	2713.0	14013.0	11606.0	7684.0	5770.0	14740.0	2866.0	5220.0	6731.0	2885.0	4107.0	2591.0	12852.0	4550.0	15461.0	14562.0	3747.0	15167.0	35281.0	14521.0	19103.0	11588.0	1458.0	7533.0	1880815.0	1805189.790401
sub-season123	2079.0	7501.0	5617.0	1540.0	11232.0	15250.0	12632.0	2938.0	14143.0	10967.0	9514.0	4774.0	18646.0	2123.0	4852.0	6779.0	3264.0	5497.0	3189.0	11270.0	4051.0	14436.0	13617.0	2567.0	17870.0	35294.0	14079.0	22201.0	12155.0	1439.0	8299.0	2039640.0	1849012.463256
sub-season124	2291.0	5274.0	4712.0	2677.0	10631.0	20366.0	12711.0	2299.0	17691.0	10058.0	7709.0	4055.0	17193.0	2358.0	5010.0	4266.0	3439.0	5075.0	2275.0	11696.0	3043.0	13040.0	11556.0	2484.0	14632.0	29884.0	13719.0	18671.0	10414.0	1257.0	7327.0	1783291.0	1690958.095541
sub-season125	2404.0	7092.0	4529.0	1923.0	10136.0	18070.0	12882.0	2247.0	15555.0	8835.0	8342.0	5738.0	16510.0	2089.0	5168.0	5876.0	2870.0	4747.0	2291.0	12329.0	3840.0	14289.0	13485.0	2228.0	15083.0	32234.0	12429.0	19839.0	10647.0	1310.0	6957.0	1824819.0	1602272.803847
sub-season126	2135.0	7067.0	4706.0	1668.0	7889.0	16357.0	14145.0	2685.0	11769.0	9861.0	9538.0	5418.0	14628.0	2218.0	5282.0	3926.0	3054.0	3312.0	2466.0	12796.0	3325.0	15122.0	12540.0	2378.0	13874.0	30471.0	11128.0	16093.0	10470.0	1007.0	6726.0	1753096.0	1661498.478944
sub-season127	2871.0	7371.0	5172.0	1850.0	10458.0	19222.0	14126.0	2829.0	15007.0	9922.0	9185.0	5369.0	17847.0	2196.0	4862.0	5304.0	3209.0	4897.0	2410.0	12580.0	4299.0	15801.0	11864.0	3036.0	14430.0	34796.0	12719.0	18314.0	9497.0	1407.0	7429.0	1909443.0	1783880.913517
sub-season128	1953.0	5660.0	5358.0	2045.0	8741.0	15936.0	13841.0	3091.0	13194.0	9927.0	8384.0	4887.0	14582.0	2376.0	4468.0	5197.0	2611.0	4988.0	3090.0	13181.0	2814.0	14123.0	11736.0	2950.0	10506.0	31523.0	10342.0	14823.0	9972.0	1387.0	7112.0	1696295.0	1630717.95911
sub-season129	2364.0	5327.0	4206.0	2031.0	8586.0	16939.0	12208.0	2243.0	12081.0	9943.0	6689.0	3787.0	15354.0	2004.0	4842.0	5633.0	2261.0	3835.0	2180.0	10861.0	3993.0	12750.0	9833.0	2325.0	11303.0	30180.0	9942.0	17366.0	9795.0	1243.0	7096.0	1647904.0	1503300.398544
sub-season130	3105.0	5557.0	4862.0	2275.0	10110.0	18354.0	12056.0	2445.0	16891.0	10594.0	7821.0	4536.0	17066.0	2465.0	4784.0	5763.0	3074.0	4854.0	2400.0	10448.0	4441.0	14783.0	12256.0	2935.0	11981.0	29158.0	10551.0	18327.0	8134.0	911.0	8117.0	1757452.0	1536729.309148
