lh.aparc.a2009s.thickness	lh_G&S_frontomargin_thickness	lh_G&S_occipital_inf_thickness	lh_G&S_paracentral_thickness	lh_G&S_subcentral_thickness	lh_G&S_transv_frontopol_thickness	lh_G&S_cingul-Ant_thickness	lh_G&S_cingul-Mid-Ant_thickness	lh_G&S_cingul-Mid-Post_thickness	lh_G_cingul-Post-dorsal_thickness	lh_G_cingul-Post-ventral_thickness	lh_G_cuneus_thickness	lh_G_front_inf-Opercular_thickness	lh_G_front_inf-Orbital_thickness	lh_G_front_inf-Triangul_thickness	lh_G_front_middle_thickness	lh_G_front_sup_thickness	lh_G_Ins_lg&S_cent_ins_thickness	lh_G_insular_short_thickness	lh_G_occipital_middle_thickness	lh_G_occipital_sup_thickness	lh_G_oc-temp_lat-fusifor_thickness	lh_G_oc-temp_med-Lingual_thickness	lh_G_oc-temp_med-Parahip_thickness	lh_G_orbital_thickness	lh_G_pariet_inf-Angular_thickness	lh_G_pariet_inf-Supramar_thickness	lh_G_parietal_sup_thickness	lh_G_postcentral_thickness	lh_G_precentral_thickness	lh_G_precuneus_thickness	lh_G_rectus_thickness	lh_G_subcallosal_thickness	lh_G_temp_sup-G_T_transv_thickness	lh_G_temp_sup-Lateral_thickness	lh_G_temp_sup-Plan_polar_thickness	lh_G_temp_sup-Plan_tempo_thickness	lh_G_temporal_inf_thickness	lh_G_temporal_middle_thickness	lh_Lat_Fis-ant-Horizont_thickness	lh_Lat_Fis-ant-Vertical_thickness	lh_Lat_Fis-post_thickness	lh_Pole_occipital_thickness	lh_Pole_temporal_thickness	lh_S_calcarine_thickness	lh_S_central_thickness	lh_S_cingul-Marginalis_thickness	lh_S_circular_insula_ant_thickness	lh_S_circular_insula_inf_thickness	lh_S_circular_insula_sup_thickness	lh_S_collat_transv_ant_thickness	lh_S_collat_transv_post_thickness	lh_S_front_inf_thickness	lh_S_front_middle_thickness	lh_S_front_sup_thickness	lh_S_interm_prim-Jensen_thickness	lh_S_intrapariet&P_trans_thickness	lh_S_oc_middle&Lunatus_thickness	lh_S_oc_sup&transversal_thickness	lh_S_occipital_ant_thickness	lh_S_oc-temp_lat_thickness	lh_S_oc-temp_med&Lingual_thickness	lh_S_orbital_lateral_thickness	lh_S_orbital_med-olfact_thickness	lh_S_orbital-H_Shaped_thickness	lh_S_parieto_occipital_thickness	lh_S_pericallosal_thickness	lh_S_postcentral_thickness	lh_S_precentral-inf-part_thickness	lh_S_precentral-sup-part_thickness	lh_S_suborbital_thickness	lh_S_subparietal_thickness	lh_S_temporal_inf_thickness	lh_S_temporal_sup_thickness	lh_S_temporal_transverse_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-season101	2.141	2.439	2.42	2.796	2.396	2.794	2.644	2.431	3.177	2.81	1.893	2.838	2.615	2.641	2.58	2.756	3.059	3.495	2.426	2.164	2.913	2.015	3.179	2.695	2.615	2.715	2.215	2.352	2.838	2.38	2.529	2.017	2.943	2.844	3.617	2.85	2.879	3.075	2.206	2.422	2.417	1.779	3.063	1.903	1.996	2.073	2.793	3.039	2.669	2.726	2.207	2.13	2.183	2.318	2.21	2.016	1.907	2.091	1.989	2.399	2.411	2.204	2.562	2.744	2.098	1.447	1.939	2.407	2.313	2.431	2.319	2.272	2.377	2.404	2.45785	1564505.0	1381338.856958
sub-season102	2.364	2.3	2.571	2.794	2.631	2.921	2.855	2.729	3.203	2.599	2.113	3.124	2.913	2.899	2.924	3.054	3.02	3.561	2.619	2.431	3.171	2.269	3.101	3.023	2.758	2.969	2.647	2.209	3.109	2.753	2.817	2.832	2.575	3.217	3.118	2.775	3.118	3.231	2.494	2.441	2.336	2.117	3.296	2.042	2.169	2.409	3.001	2.649	2.807	2.598	1.982	2.53	2.279	2.515	2.24	2.191	1.958	2.405	2.462	2.465	2.591	2.228	2.53	2.733	2.241	1.514	2.127	2.495	2.5	2.152	2.594	2.667	2.549	2.472	2.64075	2019594.0	1844670.123623
sub-season103	2.56	2.545	2.469	2.875	3.156	3.041	2.91	2.792	3.18	2.691	2.02	3.228	3.329	2.842	2.931	3.145	2.333	3.59	2.557	1.982	3.081	2.192	3.191	3.04	2.795	2.693	2.495	2.238	3.09	2.765	3.041	2.479	2.784	3.083	3.589	2.81	2.972	3.189	2.356	2.703	2.469	1.836	3.354	2.223	2.115	2.244	3.281	3.089	2.98	2.622	2.338	2.416	2.495	2.58	2.152	2.206	1.992	2.121	2.631	2.421	2.605	2.36	2.46	3.043	2.239	1.721	2.27	2.641	2.326	2.454	2.333	2.737	2.589	2.538	2.66665	1610298.0	1456061.200256
sub-season104	2.44	2.652	2.655	2.972	2.915	3.03	2.933	2.743	3.05	2.849	2.218	3.163	3.629	3.031	2.981	3.197	3.362	3.997	2.802	2.423	3.211	2.502	3.573	3.083	2.914	3.036	2.635	2.399	3.155	2.801	2.634	1.972	2.982	3.625	3.955	2.92	3.055	3.276	2.515	2.97	2.642	1.994	3.346	2.069	2.077	2.184	3.354	3.095	3.061	2.717	2.312	2.522	2.352	2.602	2.809	2.288	2.05	2.286	2.333	2.614	2.704	2.299	2.383	2.975	2.517	1.741	2.319	2.743	2.65	2.454	2.635	2.444	2.762	2.557	2.7524	1759065.0	1579786.950392
sub-season105	2.33	2.459	2.359	2.745	2.794	3.171	2.994	2.624	3.159	2.917	1.9	3.21	3.215	2.829	2.735	3.071	3.344	3.325	2.818	2.121	3.062	2.225	2.721	2.954	2.768	2.97	2.408	2.129	3.019	2.662	2.489	2.584	2.635	3.017	3.49	2.955	2.963	2.966	2.351	2.643	2.61	2.035	3.014	2.074	2.16	2.337	3.035	3.049	2.834	2.936	2.276	2.408	2.458	2.638	2.424	2.214	2.108	2.285	2.399	2.361	2.512	2.181	2.677	2.766	2.349	1.752	2.11	2.649	2.445	2.608	2.471	2.414	2.551	2.439	2.62634	1659168.0	1562659.338937
sub-season106	2.323	2.381	2.628	2.749	2.78	2.974	2.898	2.812	2.984	2.895	1.899	2.94	2.699	3.028	2.728	3.159	3.574	4.047	2.623	2.141	2.951	2.208	3.197	2.851	2.701	2.815	2.355	2.38	3.213	2.585	2.792	2.686	2.613	3.183	3.348	2.543	2.988	3.052	2.351	2.673	2.517	1.888	3.225	2.015	1.977	2.273	2.857	3.05	2.884	2.617	2.02	2.426	2.35	2.536	2.344	2.056	1.976	1.969	2.144	2.357	2.282	2.367	2.288	2.734	2.379	1.75	2.162	2.597	2.597	2.306	2.51	2.435	2.451	2.313	2.60048	1628347.0	1491867.942883
sub-season107	2.585	2.768	2.326	2.891	2.861	2.892	2.848	2.794	3.285	2.491	1.919	3.318	3.433	2.773	2.924	3.1	3.135	3.866	2.665	1.965	3.042	2.44	3.452	3.027	2.733	2.966	2.529	2.346	2.893	2.729	2.827	1.974	2.778	3.195	3.674	2.778	3.196	3.243	2.609	2.854	2.549	1.764	3.572	1.913	1.958	2.289	3.363	3.013	2.745	2.755	2.366	2.406	2.562	2.655	2.598	2.215	2.227	2.18	2.415	2.518	2.482	2.491	2.211	2.743	2.241	1.489	2.356	2.52	2.596	2.511	2.444	2.695	2.676	2.192	2.67754	1782750.0	1531825.373854
sub-season108	2.578	2.392	2.237	2.897	2.338	3.151	2.709	2.715	3.122	2.774	1.934	2.906	3.096	3.05	2.809	3.042	2.901	3.619	2.446	2.197	2.924	1.941	3.436	2.869	2.718	2.687	2.393	2.113	2.895	2.522	2.758	2.354	2.547	3.12	3.71	2.091	2.925	3.129	2.116	2.285	2.312	1.73	3.114	1.94	2.045	2.251	3.149	2.802	2.767	2.761	2.028	2.287	2.379	2.487	2.362	2.043	2.178	2.061	2.332	2.329	2.601	2.403	2.476	2.678	2.231	1.604	2.092	2.663	2.512	2.533	2.346	2.439	2.551	2.377	2.55825	1592943.0	1440808.605024
sub-season109	2.527	2.564	2.706	3.051	2.9	3.084	2.809	2.713	3.195	3.111	2.197	3.236	3.342	3.077	3.073	3.43	3.366	4.047	2.932	2.254	3.19	2.376	3.37	3.138	2.997	3.009	2.667	2.659	3.319	2.867	2.869	2.733	3.038	3.408	3.702	3.006	3.198	3.521	2.335	2.694	2.85	2.313	3.389	2.21	2.213	2.339	3.246	3.035	2.955	2.857	2.34	2.568	2.708	2.68	2.488	2.409	2.394	2.352	2.732	2.69	2.525	2.483	2.478	2.874	2.583	1.853	2.611	2.955	2.731	2.532	2.595	2.788	2.761	2.591	2.83532	2127492.0	1955159.142595
sub-season110	2.581	2.683	2.553	3.053	2.976	3.08	2.957	2.822	3.235	3.205	1.942	2.934	3.248	2.548	2.858	3.335	3.587	3.758	2.713	2.208	3.212	2.035	3.435	3.087	2.658	2.828	2.509	2.284	3.159	2.733	2.706	2.581	2.878	3.449	3.976	2.895	3.126	3.092	2.67	2.521	2.615	1.883	3.432	1.996	2.255	2.327	3.254	3.297	2.788	2.589	2.182	2.486	2.385	2.674	2.438	2.224	2.244	2.03	2.299	2.751	2.645	2.038	2.436	2.694	2.39	2.011	2.184	2.615	2.655	2.558	2.448	2.579	2.649	2.829	2.69884	1732844.0	1526380.723924
