rh.BA_exvivo.meancurv	rh_BA1_exvivo_meancurv	rh_BA2_exvivo_meancurv	rh_BA3a_exvivo_meancurv	rh_BA3b_exvivo_meancurv	rh_BA4a_exvivo_meancurv	rh_BA4p_exvivo_meancurv	rh_BA6_exvivo_meancurv	rh_BA44_exvivo_meancurv	rh_BA45_exvivo_meancurv	rh_V1_exvivo_meancurv	rh_V2_exvivo_meancurv	rh_MT_exvivo_meancurv	rh_perirhinal_exvivo_meancurv	rh_entorhinal_exvivo_meancurv	BrainSegVolNotVent	eTIV
sub-season101	0.089	0.089	0.091	0.079	0.076	0.07	0.096	0.099	0.109	0.105	0.124	0.089	0.116	0.148	1592925.0	1412166.900513
sub-season102	0.106	0.08	0.097	0.072	0.07	0.069	0.086	0.083	0.099	0.103	0.112	0.092	0.092	0.088	2019190.0	1836734.352672
sub-season103	0.122	0.087	0.099	0.078	0.06	0.07	0.084	0.094	0.099	0.103	0.11	0.104	0.093	0.091	1604558.0	1443544.19585
sub-season104	0.116	0.082	0.091	0.078	0.074	0.069	0.091	0.094	0.099	0.098	0.113	0.097	0.1	0.112	1745081.0	1582548.662703
sub-season105	0.123	0.08	0.102	0.081	0.092	0.088	0.102	0.096	0.104	0.099	0.114	0.106	0.11	0.08	1643021.0	1563538.009266
sub-season106	0.106	0.088	0.104	0.08	0.074	0.073	0.091	0.093	0.101	0.107	0.118	0.103	0.095	0.13	1624831.0	1482952.883913
sub-season107	0.114	0.083	0.102	0.07	0.063	0.068	0.089	0.097	0.102	0.106	0.125	0.094	0.098	0.115	1762574.0	1540944.436115
sub-season108	0.091	0.071	0.092	0.078	0.076	0.075	0.084	0.095	0.101	0.104	0.115	0.096	0.112	0.115	1608348.0	1453691.045969
sub-season109	0.102	0.072	0.091	0.069	0.058	0.062	0.083	0.087	0.096	0.097	0.11	0.097	0.107	0.085	2116975.0	1949204.264928
sub-season110	0.104	0.086	0.101	0.083	0.071	0.085	0.093	0.096	0.103	0.108	0.115	0.1	0.085	0.116	1728574.0	1545647.495434
sub-season111	0.107	0.087	0.103	0.074	0.066	0.068	0.079	0.082	0.098	0.105	0.117	0.085	0.092	0.084	1887219.0	1820797.057342
sub-season112	0.097	0.077	0.097	0.071	0.057	0.065	0.087	0.098	0.107	0.099	0.118	0.101	0.096	0.099	1986596.0	1855650.512396
sub-season114	0.105	0.076	0.089	0.082	0.07	0.068	0.09	0.094	0.098	0.093	0.118	0.102	0.088	0.105	1589934.0	1453974.037606
sub-season116	0.108	0.087	0.098	0.08	0.067	0.074	0.086	0.094	0.105	0.106	0.113	0.105	0.099	0.068	1864222.0	1656987.75507
sub-season117	0.107	0.09	0.101	0.077	0.077	0.067	0.091	0.092	0.106	0.098	0.119	0.102	0.077	0.135	2004035.0	1887383.587011
sub-season119	0.097	0.074	0.094	0.066	0.071	0.06	0.085	0.088	0.098	0.098	0.113	0.101	0.097	0.077	1696676.0	1569429.750095
sub-season120	0.113	0.081	0.099	0.066	0.067	0.069	0.088	0.088	0.099	0.109	0.114	0.099	0.1	0.132	1847717.0	1664683.598266
sub-season121	0.114	0.091	0.104	0.081	0.069	0.068	0.089	0.093	0.105	0.114	0.121	0.093	0.098	0.115	2008369.0	1897894.403667
sub-season122	0.105	0.071	0.094	0.079	0.065	0.068	0.086	0.086	0.095	0.104	0.117	0.089	0.087	0.08	1880815.0	1805189.790401
sub-season123	0.097	0.078	0.095	0.08	0.067	0.064	0.085	0.091	0.101	0.103	0.115	0.099	0.097	0.066	2039640.0	1849012.463256
sub-season124	0.102	0.077	0.106	0.085	0.079	0.069	0.095	0.094	0.101	0.095	0.121	0.09	0.119	0.149	1783291.0	1690958.095541
sub-season125	0.109	0.086	0.091	0.077	0.065	0.072	0.087	0.091	0.102	0.096	0.113	0.089	0.088	0.078	1824819.0	1602272.803847
sub-season126	0.106	0.085	0.107	0.076	0.073	0.072	0.093	0.093	0.111	0.109	0.116	0.098	0.102	0.118	1753096.0	1661498.478944
sub-season127	0.098	0.09	0.094	0.075	0.065	0.075	0.089	0.094	0.105	0.106	0.117	0.099	0.107	0.101	1909443.0	1783880.913517
sub-season128	0.106	0.089	0.083	0.083	0.075	0.071	0.089	0.091	0.106	0.117	0.116	0.106	0.085	0.1	1696295.0	1630717.95911
sub-season129	0.116	0.086	0.085	0.088	0.063	0.068	0.092	0.097	0.107	0.106	0.11	0.107	0.111	0.1	1647904.0	1503300.398544
sub-season130	0.101	0.086	0.086	0.078	0.067	0.078	0.09	0.091	0.107	0.094	0.104	0.085	0.096	0.061	1757452.0	1536729.309148
sub-season131	0.102	0.08	0.098	0.073	0.065	0.061	0.082	0.096	0.101	0.107	0.113	0.098	0.112	0.096	1921984.0	1770893.529474
sub-season132	0.118	0.087	0.092	0.083	0.068	0.079	0.096	0.095	0.099	0.103	0.114	0.097	0.11	0.106	1452157.0	1439867.91904
sub-season133	0.093	0.088	0.091	0.083	0.063	0.065	0.089	0.093	0.091	0.1	0.103	0.087	0.08	0.096	1700360.0	1525489.052102
sub-season134	0.111	0.073	0.087	0.078	0.066	0.066	0.089	0.091	0.103	0.098	0.113	0.09	0.097	0.116	1911721.0	1823397.722049
sub-season135	0.091	0.078	0.096	0.073	0.064	0.061	0.081	0.091	0.098	0.099	0.11	0.099	0.082	0.083	1745319.0	1610476.458085
sub-season136	0.121	0.08	0.113	0.08	0.073	0.076	0.091	0.096	0.106	0.092	0.121	0.092	0.101	0.106	1513888.0	1035253.679693
sub-season137	0.109	0.074	0.102	0.068	0.069	0.069	0.09	0.091	0.105	0.104	0.11	0.094	0.08	0.121	1685920.0	1477723.11448
sub-season138	0.108	0.074	0.085	0.072	0.065	0.062	0.09	0.093	0.104	0.097	0.113	0.093	0.112	0.096	1628419.0	1579182.412506
sub-season139	0.104	0.085	0.089	0.081	0.06	0.064	0.089	0.079	0.104	0.105	0.116	0.092	0.104	0.071	1786268.0	1746086.487966
sub-season202	0.105	0.094	0.099	0.08	0.072	0.065	0.091	0.092	0.103	0.105	0.119	0.09	0.121	0.104	2095322.0	1918579.22066
sub-season204	0.095	0.084	0.109	0.09	0.074	0.092	0.09	0.097	0.116	0.109	0.124	0.11	0.108	0.098	1719575.0	1568138.208178
